Category,FileName,Rating,Content,Valid,Reason,Additional Notes
fear,0190.mp4,0.71429,A bodycam of a person standing very close to the edge of a skyscraper,TRUE,,
fear,1172.mp4,0.71429,A bodycam of a person jumping across a gap on a skyscraper,TRUE,,
joy,0688.mp4,0.72727,A dad with his child mimiking the childs pushup movements,TRUE,,
joy,1032.mp4,0.72727,A baby smiling,TRUE,,
joy,1034.mp4,0.72727,A daughter running towards her dad in military clothing,TRUE,,
joy,2034.mp4,0.72727,A person almost crying hugging a person in a marine uniform,TRUE,,
joy,1938.mp4,0.69231,A woman happily smiling hugging a man,TRUE,,
joy,0380.mp4,0.66667,A kid happily bouncing around on a bouncy animal made of rubber,TRUE,,
joy,1953.mp4,0.66667,A women jumping into the arms of a man,TRUE,,
joy,0593.mp4,0.65625,A slow motion shot of a women turning around and bursting out with joy and excitement,TRUE,,
joy,1712.mp4,0.64706,A series of images of a boy running to the back of the class and hugging a man in military uniform,TRUE,,
joy,1363.mp4,0.63636,"A very excited baby, unboxing a present",TRUE,,
sadness,1959.mp4,0.91667,An old women in the hospital crying,TRUE,,
sadness,0756.mp4,0.90909,"A very ill looking baby, hooked up to hospital equipment, close to death",FALSE,Depictions Violating Human Dignity,
sadness,1259.mp4,0.90909,"A dog covered in tar and dirt, lying on the ground",TRUE,,
sadness,0975.mp4,0.83333,A very distressed dog at the grave of his owner,TRUE,,
sadness,1786.mp4,0.81818,An naked and extremly skinny survivor of the holocaust is getting a coat,FALSE,Depictions Violating Human Dignity,"""Legitimate interest in this form of repoting"" is not applicable for this usecase"
sadness,0051.mp4,0.8,a naked and extremly skinny survivor of the holocaust,FALSE,Depictions Violating Human Dignity,"""Legitimate interest in this form of repoting"" is not applicable for this usecase"
sadness,0059.mp4,0.8,a dog who is unable to walk is trying to drag his paralyzed backlegs behind him,TRUE,,
sadness,0067.mp4,0.77778,many very skinny survivors of the holocaust,FALSE,Depictions Violating Human Dignity,"""Legitimate interest in this form of repoting"" is not applicable for this usecase"
sadness,0226.mp4,0.76923,a dog who has his paw stuck in a trap,TRUE,,
sadness,1164.mp4,0.76923,a crying boy beeing comforted by a girl,TRUE,,
sadness,0611.mp4,0.75,a priest finalizing the mariage between a dying man and his bride in the hospital,TRUE,,"most likely a film, not an ""actual event"""
sadness,1478.mp4,0.75,"A Person beeing thrown out of their weelchair frontally, falling to their face ",FALSE,Quality,
sadness,1587.mp4,0.75,A plane flying sideways and crashing into the ground in an explosion,TRUE,,
sadness,0673.mp4,0.72727,a french memorial side with a lot of flowers,TRUE,,
sadness,0181.mp4,0.71429,a person killing themself by jumping infront of a train,FALSE,"Depictions Violating Human Dignity
Gratuitous Violence
Severely Youth-Endangering Content",
sadness,1485.mp4,0.71429,Drone Footage of a destroyed city,TRUE,,
surprise,0509.mp4,0.75,a whale jumping out of the ocean right next to a few people on a boat,TRUE,,
surprise,0976.mp4,0.75,a bird beeing attacked by a snake which suddenly appears,TRUE,,
surprise,1277.mp4,0.66667,a predator fish jumping at another fish and eating it,TRUE,,
surprise,1433.mp4,0.61538,"a girl sitting on a streat with the background falling down, revealing that the girl was at a totally different location",TRUE,,
surprise,1436.mp4,0.61538,two men taking turns bouncing off of a gymnastics ball into a backflip,TRUE,,
surprise,0468.mp4,0.58333,a hidden bird suddenly flying away,TRUE,,
surprise,0602.mp4,0.58333,"a fridge getting opened, revealing a person eating inside",TRUE,,
surprise,1002.mp4,0.58333,"a cylinder box, suddenly moving and before a ferret jumps out",TRUE,,
surprise,1276.mp4,0.58333,"A dashcam of a car, where suddenly a person appears and gets hit by the car, flying / rolling away from the car and not moving",FALSE,"Depictions Violating Human Dignity
Gratious Violence
Severely Youth-Endangering Content",
surprise,1899.mp4,0.58333,An ice bear coming from under water and scaring a girl and a dog,TRUE,,
surprise,1234.mp4,0.54545,"A deer crashing into a bus, through the front window and then running around in the bus",TRUE,,
